Land,Sektor,Subsektor,Von,Bis,Gas,Emissionen,Einheit,Zeit,created_date,modified_date
ARG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,61079731.0,,annual,,
ARG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,57686263.0,,annual,,
ARG,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,50751835.0,,annual,,
ARG,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,50620348.0,,annual,,
ARG,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,12317254.0,,annual,,
ARM,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,1434929.0,,annual,,
ARM,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,1320446.0,,annual,,
ARM,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1471329.0,,annual,,
ARM,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1729193.0,,annual,,
ARM,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,1562339.0,,annual,,
ARM,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,1624700.0,,annual,,
ARM,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,1647220.0,,annual,,
ARM,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,1856578.0,,annual,,
ARM,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,1856578.0,,annual,,
ARM,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,1861984.0,,annual,,
ARM,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,486783.0,,annual,,
ASM,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,121898.0,,annual,,
ASM,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,122232.0,,annual,,
ASM,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,135661.0,,annual,,
ASM,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,136570.0,,annual,,
ASM,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,136570.0,,annual,,
ASM,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,141499.0,,annual,,
ASM,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,141715.0,,annual,,
ASM,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,141715.0,,annual,,
ASM,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,141715.0,,annual,,
ASM,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,142104.0,,annual,,
ASM,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,34943.0,,annual,,
ATA,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ATA,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2,0.0,,annual,,
ATF,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2,0.0,,annual,,
ATG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,287957.0,,annual,,
ATG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,290065.0,,annual,,
ATG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,289961.0,,annual,,
ATG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,296642.0,,annual,,
ATG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,294639.0,,annual,,
ATG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,279348.0,,annual,,
